2025-10-26 00:34:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19034s, Memory: 87.98/135.00MB, CPU Cores: 8, Requests: 0, Connections: 32
2025-10-26 00:35:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19094s, Memory: 88.10/135.00MB, CPU Cores: 8, Requests: 0, Connections: 33
2025-10-26 00:36:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19154s, Memory: 88.13/135.00MB, CPU Cores: 8, Requests: 0, Connections: 5
2025-10-26 00:37:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19214s, Memory: 88.25/135.00MB, CPU Cores: 8, Requests: 0, Connections: 42
2025-10-26 00:38:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19274s, Memory: 88.37/135.00MB, CPU Cores: 8, Requests: 0, Connections: 20
2025-10-26 00:39:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19334s, Memory: 88.37/135.00MB, CPU Cores: 8, Requests: 0, Connections: 34
2025-10-26 00:40:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19394s, Memory: 88.47/135.00MB, CPU Cores: 8, Requests: 0, Connections: 18
2025-10-26 00:41:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19454s, Memory: 88.56/135.00MB, CPU Cores: 8, Requests: 0, Connections: 43
2025-10-26 00:42:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19514s, Memory: 88.60/135.00MB, CPU Cores: 8, Requests: 0, Connections: 11
2025-10-26 00:43:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19574s, Memory: 88.64/135.00MB, CPU Cores: 8, Requests: 0, Connections: 17
2025-10-26 00:44:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19634s, Memory: 88.76/135.00MB, CPU Cores: 8, Requests: 0, Connections: 49
2025-10-26 00:45:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19694s, Memory: 88.79/135.00MB, CPU Cores: 8, Requests: 0, Connections: 33
2025-10-26 00:46:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19754s, Memory: 88.98/135.00MB, CPU Cores: 8, Requests: 0, Connections: 18
2025-10-26 00:47:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19814s, Memory: 89.02/135.00MB, CPU Cores: 8, Requests: 0, Connections: 48
2025-10-26 00:48:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19874s, Memory: 89.07/135.00MB, CPU Cores: 8, Requests: 0, Connections: 36
2025-10-26 00:49:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19934s, Memory: 89.14/135.00MB, CPU Cores: 8, Requests: 0, Connections: 14
2025-10-26 00:50:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 19994s, Memory: 89.14/135.00MB, CPU Cores: 8, Requests: 0, Connections: 23
2025-10-26 00:51:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20054s, Memory: 89.26/135.00MB, CPU Cores: 8, Requests: 0, Connections: 44
2025-10-26 00:52:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20114s, Memory: 89.38/135.00MB, CPU Cores: 8, Requests: 0, Connections: 34
2025-10-26 00:53:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20174s, Memory: 89.45/135.00MB, CPU Cores: 8, Requests: 0, Connections: 48
2025-10-26 00:54:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20234s, Memory: 89.54/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 00:55:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20294s, Memory: 89.60/135.00MB, CPU Cores: 8, Requests: 0, Connections: 6
2025-10-26 00:56:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20354s, Memory: 90.60/135.00MB, CPU Cores: 8, Requests: 0, Connections: 22
2025-10-26 00:57:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20414s, Memory: 92.84/135.00MB, CPU Cores: 8, Requests: 0, Connections: 42
2025-10-26 00:58:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20474s, Memory: 92.87/135.00MB, CPU Cores: 8, Requests: 0, Connections: 48
2025-10-26 00:59:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20534s, Memory: 93.03/135.00MB, CPU Cores: 8, Requests: 0, Connections: 36
2025-10-26 01:00:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20594s, Memory: 93.03/135.00MB, CPU Cores: 8, Requests: 0, Connections: 19
2025-10-26 01:01:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20654s, Memory: 93.17/135.00MB, CPU Cores: 8, Requests: 0, Connections: 38
2025-10-26 01:02:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20714s, Memory: 93.23/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 01:03:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20774s, Memory: 93.29/135.00MB, CPU Cores: 8, Requests: 0, Connections: 42
2025-10-26 01:04:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20834s, Memory: 93.42/135.00MB, CPU Cores: 8, Requests: 0, Connections: 45
2025-10-26 01:05:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20894s, Memory: 93.42/135.00MB, CPU Cores: 8, Requests: 0, Connections: 33
2025-10-26 01:06:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 20954s, Memory: 93.46/135.00MB, CPU Cores: 8, Requests: 0, Connections: 44
2025-10-26 01:07:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21014s, Memory: 93.60/135.00MB, CPU Cores: 8, Requests: 0, Connections: 43
2025-10-26 01:08:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21074s, Memory: 93.68/135.00MB, CPU Cores: 8, Requests: 0, Connections: 10
2025-10-26 01:09:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21134s, Memory: 93.74/135.00MB, CPU Cores: 8, Requests: 0, Connections: 26
2025-10-26 01:10:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21194s, Memory: 93.77/135.00MB, CPU Cores: 8, Requests: 0, Connections: 36
2025-10-26 01:11:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21254s, Memory: 93.90/135.00MB, CPU Cores: 8, Requests: 0, Connections: 12
2025-10-26 01:12:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21314s, Memory: 94.03/135.00MB, CPU Cores: 8, Requests: 0, Connections: 14
2025-10-26 01:13:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21374s, Memory: 94.03/135.00MB, CPU Cores: 8, Requests: 0, Connections: 16
2025-10-26 01:14:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21434s, Memory: 94.09/135.00MB, CPU Cores: 8, Requests: 0, Connections: 41
2025-10-26 01:15:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21494s, Memory: 94.17/135.00MB, CPU Cores: 8, Requests: 0, Connections: 44
2025-10-26 01:16:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21554s, Memory: 94.24/135.00MB, CPU Cores: 8, Requests: 0, Connections: 20
2025-10-26 01:17:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21614s, Memory: 94.33/135.00MB, CPU Cores: 8, Requests: 0, Connections: 13
2025-10-26 01:18:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21674s, Memory: 94.46/135.00MB, CPU Cores: 8, Requests: 0, Connections: 30
2025-10-26 01:19:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21734s, Memory: 94.52/135.00MB, CPU Cores: 8, Requests: 0, Connections: 38
2025-10-26 01:20:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21794s, Memory: 94.56/135.00MB, CPU Cores: 8, Requests: 0, Connections: 39
2025-10-26 01:21:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21854s, Memory: 94.60/135.00MB, CPU Cores: 8, Requests: 0, Connections: 7
2025-10-26 01:22:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21914s, Memory: 94.69/135.00MB, CPU Cores: 8, Requests: 0, Connections: 45
